Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/h3_Mulai Karir  Teknologi Bersama  Pijar Camp""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:29:43,2021-10-28 08:29:43,0.394s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:29:43,2021-10-28 08:29:48,5.003s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:29:48,2021-10-28 08:29:48,0.312s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:29:48,2021-10-28 08:29:53,5.003s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_KEUNTUNGAN GABUNG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:29:53,2021-10-28 08:29:54,0.333s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:29:54,2021-10-28 08:29:59,5.003s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PROGRAM PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:29:59,2021-10-28 08:29:59,0.348s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:29:59,2021-10-28 08:30:04,5.003s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TESTIMONI ALUMNI""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:30:04,2021-10-28 08:30:05,0.366s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:30:05,2021-10-28 08:30:10,5.004s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_Mulai Karirmu Bersama Pijar Camp""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:30:10,2021-10-28 08:30:10,0.517s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:30:10,2021-10-28 08:30:15,5.005s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_KISAH SUKSES""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:30:15,2021-10-28 08:30:15,0.365s,PASSED
